job_id,skill_name,in_taxonomy,district,industry,job_title,experience_required,salary_offered,posted_date,job_type
JOB_00001,Machine Maintenance,False,Mumbai,Healthcare,Machine Operator,Fresher,32870,2026-08-24,Internship
JOB_00001,CNC Operation,True,Mumbai,Healthcare,Machine Operator,Fresher,32870,2026-08-24,Internship
JOB_00001,Quality Control,True,Mumbai,Healthcare,Machine Operator,Fresher,32870,2026-08-24,Internship
JOB_00002,SQL,True,Amravati,Telecommunications,Software Developer,Fresher,32856,2026-07-13,Internship
JOB_00002,Agile,False,Amravati,Telecommunications,Software Developer,Fresher,32856,2026-07-13,Internship
JOB_00002,REST API,True,Amravati,Telecommunications,Software Developer,Fresher,32856,2026-07-13,Internship
JOB_00003,TensorFlow,False,Solapur,Manufacturing,Machine Learning Engineer,Fresher,27449,2026-08-23,Contract
JOB_00003,NLP,True,Solapur,Manufacturing,Machine Learning Engineer,Fresher,27449,2026-08-23,Contract
JOB_00003,PyTorch,False,Solapur,Manufacturing,Machine Learning Engineer,Fresher,27449,2026-08-23,Contract
JOB_00003,Python,True,Solapur,Manufacturing,Machine Learning Engineer,Fresher,27449,2026-08-23,Contract
JOB_00003,Scikit-learn,False,Solapur,Manufacturing,Machine Learning Engineer,Fresher,27449,2026-08-23,Contract
JOB_00004,Scikit-learn,False,Raigad,Telecommunications,Machine Learning Engineer,Fresher,24606,2026-06-16,Contract
JOB_00004,Python,True,Raigad,Telecommunications,Machine Learning Engineer,Fresher,24606,2026-06-16,Contract
JOB_00004,SQL,True,Raigad,Telecommunications,Machine Learning Engineer,Fresher,24606,2026-06-16,Contract
JOB_00005,SQL,True,Pune,FMCG,Business Analyst,Fresher,29857,2026-06-15,Part-time
JOB_00005,Excel,False,Pune,FMCG,Business Analyst,Fresher,29857,2026-06-15,Part-time
JOB_00005,JIRA,False,Pune,FMCG,Business Analyst,Fresher,29857,2026-06-15,Part-time
JOB_00005,Process Mapping,False,Pune,FMCG,Business Analyst,Fresher,29857,2026-06-15,Part-time
JOB_00005,Agile,False,Pune,FMCG,Business Analyst,Fresher,29857,2026-06-15,Part-time
JOB_00006,Communication,False,Yavatmal,Pharmaceuticals,Customer Support Specialist,0-2 years,55294,2026-07-18,Part-time
JOB_00006,Problem Solving,True,Yavatmal,Pharmaceuticals,Customer Support Specialist,0-2 years,55294,2026-07-18,Part-time
JOB_00006,CRM,False,Yavatmal,Pharmaceuticals,Customer Support Specialist,0-2 years,55294,2026-07-18,Part-time
JOB_00006,Customer Service,False,Yavatmal,Pharmaceuticals,Customer Support Specialist,0-2 years,55294,2026-07-18,Part-time
JOB_00006,Zendesk,False,Yavatmal,Pharmaceuticals,Customer Support Specialist,0-2 years,55294,2026-07-18,Part-time
JOB_00007,Lead Generation,True,Kolhapur,FMCG,Sales Executive,Fresher,33585,2026-07-26,Internship
JOB_00007,Communication,False,Kolhapur,FMCG,Sales Executive,Fresher,33585,2026-07-26,Internship
JOB_00007,CRM,False,Kolhapur,FMCG,Sales Executive,Fresher,33585,2026-07-26,Internship
JOB_00007,Customer Relationship,False,Kolhapur,FMCG,Sales Executive,Fresher,33585,2026-07-26,Internship
JOB_00008,Curriculum Development,False,Aurangabad,E-commerce,Teacher,5-8 years,212311,2026-06-22,Contract
JOB_00008,Communication,False,Aurangabad,E-commerce,Teacher,5-8 years,212311,2026-06-22,Contract
JOB_00008,Assessment,False,Aurangabad,E-commerce,Teacher,5-8 years,212311,2026-06-22,Contract
JOB_00009,Docker,True,Parbhani,FMCG,DevOps Engineer,8+ years,283876,2026-06-09,Full-time
JOB_00009,Ansible,False,Parbhani,FMCG,DevOps Engineer,8+ years,283876,2026-06-09,Full-time
JOB_00009,Python,True,Parbhani,FMCG,DevOps Engineer,8+ years,283876,2026-06-09,Full-time
JOB_00010,WordPress,False,Chandrapur,Education,Content Writer,8+ years,378349,2026-08-21,Internship
JOB_00010,Content Writing,False,Chandrapur,Education,Content Writer,8+ years,378349,2026-08-21,Internship
JOB_00010,Copywriting,False,Chandrapur,Education,Content Writer,8+ years,378349,2026-08-21,Internship
JOB_00011,Payroll,False,Raigad,Telecommunications,HR Coordinator,Fresher,31635,2026-06-19,Part-time
