skill_name,district,posting_count,avg_salary,in_taxonomy,current_demand_score
AWS,Ahmednagar,7,151373.42857142858,True,14.0
AWS,Akola,5,144408.0,True,8.5
AWS,Amravati,9,158613.88888888888,True,25.8
AWS,Aurangabad,8,187561.625,True,17.9
AWS,Beed,11,132714.27272727274,True,28.6
AWS,Bhiwandi,6,129777.5,True,13.9
AWS,Chandrapur,7,151851.85714285713,True,14.3
AWS,Dhule,6,147324.83333333334,True,15.2
AWS,Jalgaon,8,85285.625,True,18.4
AWS,Jalna,6,86901.33333333333,True,10.9
AWS,Kolhapur,6,62672.833333333336,True,12.5
AWS,Latur,4,263650.75,True,7.7
AWS,Mumbai,9,172780.33333333334,True,25.9
AWS,Nagpur,8,157405.375,True,15.2
AWS,Nanded,3,188357.66666666666,True,4.4
AWS,Nashik,11,74955.72727272728,True,26.3
AWS,Osmanabad,9,131051.33333333333,True,19.0
AWS,Parbhani,9,158001.66666666666,True,16.3
AWS,Pune,6,97594.83333333333,True,13.9
AWS,Raigad,11,116614.54545454546,True,28.6
AWS,Sangli,4,107710.0,True,9.4
AWS,Satara,3,141915.0,True,5.0
AWS,Solapur,12,126781.58333333333,True,26.2
AWS,Yavatmal,7,124385.57142857143,True,14.3
Accounting,Ahmednagar,2,117811.0,False,2.3
Accounting,Akola,6,92855.5,False,10.6
Accounting,Amravati,6,195596.5,False,16.1
Accounting,Aurangabad,8,61024.75,False,17.9
Accounting,Beed,4,117846.5,False,8.6
Accounting,Bhiwandi,1,239431.0,False,0.0
Accounting,Chandrapur,11,106144.54545454546,False,23.8
Accounting,Dhule,5,186447.4,False,12.1
Accounting,Jalgaon,5,181518.8,False,10.5
Accounting,Jalna,3,89411.66666666667,False,4.3
Accounting,Kolhapur,2,114896.5,False,2.5
Accounting,Latur,4,225317.25,False,7.7
Accounting,Mumbai,5,37881.2,False,11.1
Accounting,Nagpur,7,116345.0,False,13.0
Accounting,Nanded,4,159742.0,False,6.7
Accounting,Nashik,4,52277.0,False,7.9
Accounting,Osmanabad,2,149323.5,False,2.4
Accounting,Parbhani,6,182521.66666666666,False,10.2
Accounting,Pune,6,85083.0,False,13.9
Accounting,Raigad,3,170127.66666666666,False,5.7
Accounting,Sangli,5,115741.2,False,12.5
Accounting,Satara,2,94114.5,False,2.5
Accounting,Yavatmal,4,203150.5,False,7.1
